tag,url,is_banned,count
zairen,https://danbooru.donmai.us/posts?tags=zairen&z=5,yes,87
maru_(sasayama_chikage),https://danbooru.donmai.us/posts?tags=maru_%28sasayama_chikage%29&z=5,yes,87
nishina_hima,https://danbooru.donmai.us/posts?tags=nishina_hima&z=5,yes,87
tonomayo,https://danbooru.donmai.us/posts?tags=tonomayo&z=5,yes,86
akaitera,https://danbooru.donmai.us/posts?tags=akaitera&z=5,yes,86
poo_(donkan_gokko),https://danbooru.donmai.us/posts?tags=poo_%28donkan_gokko%29&z=5,yes,85
mikomu,https://danbooru.donmai.us/posts?tags=mikomu&z=5,yes,85
yuzuha_(yuzuya),https://danbooru.donmai.us/posts?tags=yuzuha_%28yuzuya%29&z=5,yes,85
bugita,https://danbooru.donmai.us/posts?tags=bugita&z=5,yes,84
orii_(orii_i),https://danbooru.donmai.us/posts?tags=orii_%28orii_i%29&z=5,yes,83
yuguraniru,https://danbooru.donmai.us/posts?tags=yuguraniru&z=5,yes,83
littleshrimp,https://danbooru.donmai.us/posts?tags=littleshrimp&z=5,yes,83
inoue_tomii,https://danbooru.donmai.us/posts?tags=inoue_tomii&z=5,yes,81
tsukumi_(tkmillust),https://danbooru.donmai.us/posts?tags=tsukumi_%28tkmillust%29&z=5,yes,81
runamatu,https://danbooru.donmai.us/posts?tags=runamatu&z=5,yes,81
zaraku,https://danbooru.donmai.us/posts?tags=zaraku&z=5,yes,81
genkai_zero,https://danbooru.donmai.us/posts?tags=genkai_zero&z=5,yes,79
reef_(sanomsai_products),https://danbooru.donmai.us/posts?tags=reef_%28sanomsai_products%29&z=5,yes,79
asuka_(louyun),https://danbooru.donmai.us/posts?tags=asuka_%28louyun%29&z=5,yes,78
glutton_(18152740927lx),https://danbooru.donmai.us/posts?tags=glutton_%2818152740927lx%29&z=5,yes,76
zhao_190,https://danbooru.donmai.us/posts?tags=zhao_190&z=5,yes,76
mrt_mr,https://danbooru.donmai.us/posts?tags=mrt_mr&z=5,yes,75
yoshii,https://danbooru.donmai.us/posts?tags=yoshii&z=5,yes,75
amo_(amo9612),https://danbooru.donmai.us/posts?tags=amo_%28amo9612%29&z=5,yes,74
gonzaburou,https://danbooru.donmai.us/posts?tags=gonzaburou&z=5,yes,74
kurokiri6630,https://danbooru.donmai.us/posts?tags=kurokiri6630&z=5,yes,74
bluedemon13,https://danbooru.donmai.us/posts?tags=bluedemon13&z=5,yes,74
ryanpei,https://danbooru.donmai.us/posts?tags=ryanpei&z=5,yes,73
ekusiregaia,https://danbooru.donmai.us/posts?tags=ekusiregaia&z=5,yes,73
shuno_(xiaonuo),https://danbooru.donmai.us/posts?tags=shuno_%28xiaonuo%29&z=5,yes,72
ran_komomo,https://danbooru.donmai.us/posts?tags=ran_komomo&z=5,yes,72
apring,https://danbooru.donmai.us/posts?tags=apring&z=5,yes,72
hibari_hina,https://danbooru.donmai.us/posts?tags=hibari_hina&z=5,yes,71
seato-hao,https://danbooru.donmai.us/posts?tags=seato-hao&z=5,yes,71
qi_hui,https://danbooru.donmai.us/posts?tags=qi_hui&z=5,yes,71
sevenotsu,https://danbooru.donmai.us/posts?tags=sevenotsu&z=5,yes,71
9degree,https://danbooru.donmai.us/posts?tags=9degree&z=5,yes,70
sarah_sauge,https://danbooru.donmai.us/posts?tags=sarah_sauge&z=5,yes,70
ryman,https://danbooru.donmai.us/posts?tags=ryman&z=5,yes,70
goushou,https://danbooru.donmai.us/posts?tags=goushou&z=5,yes,70
sizuru_(garasuame0206),https://danbooru.donmai.us/posts?tags=sizuru_%28garasuame0206%29&z=5,yes,69
mio-muo1206,https://danbooru.donmai.us/posts?tags=mio-muo1206&z=5,yes,69
okia,https://danbooru.donmai.us/posts?tags=okia&z=5,yes,69
oohirakeisuke,https://danbooru.donmai.us/posts?tags=oohirakeisuke&z=5,yes,68
kanechi,https://danbooru.donmai.us/posts?tags=kanechi&z=5,yes,68
72_(nananatsu),https://danbooru.donmai.us/posts?tags=72_%28nananatsu%29&z=5,yes,68
yu_(xcapriccioso),https://danbooru.donmai.us/posts?tags=yu_%28xcapriccioso%29&z=5,yes,67
ayamiya_fumi,https://danbooru.donmai.us/posts?tags=ayamiya_fumi&z=5,yes,67
uni_(ieatpockey),https://danbooru.donmai.us/posts?tags=uni_%28ieatpockey%29&z=5,yes,67
shiraazuma,https://danbooru.donmai.us/posts?tags=shiraazuma&z=5,yes,67
you_hashira,https://danbooru.donmai.us/posts?tags=you_hashira&z=5,yes,67
urakata_(uracata),https://danbooru.donmai.us/posts?tags=urakata_%28uracata%29&z=5,yes,67
cyaca_ab,https://danbooru.donmai.us/posts?tags=cyaca_ab&z=5,yes,66
tfqr,https://danbooru.donmai.us/posts?tags=tfqr&z=5,yes,65
chuu0105,https://danbooru.donmai.us/posts?tags=chuu0105&z=5,yes,65
mochiko_(mochi373pk),https://danbooru.donmai.us/posts?tags=mochiko_%28mochi373pk%29&z=5,yes,65
bloodcandy,https://danbooru.donmai.us/posts?tags=bloodcandy&z=5,yes,64
dai_nikucho,https://danbooru.donmai.us/posts?tags=dai_nikucho&z=5,yes,64
nerua,https://danbooru.donmai.us/posts?tags=nerua&z=5,yes,63
notchi,https://danbooru.donmai.us/posts?tags=notchi&z=5,yes,63
donaldakron,https://danbooru.donmai.us/posts?tags=donaldakron&z=5,yes,63
